Fecha,Tipo,Categoría,Descripción,Monto,Recibo_Adjunto
2026-08-16,Gasto,Otros,Pago prestamo APAP,6000.0,Sin recibo
2026-08-16,Gasto,Otros,Pago prestamo QIK,3400.0,Sin recibo
2026-08-16,Gasto,Vivienda,Pago Casa,20000.0,Sin recibo
2026-08-16,Gasto,Combustible,Combustible quincenal,5000.0,Sin recibo
2026-08-16,Gasto,Servicios,Internet,1400.0,Sin recibo
2026-08-16,Gasto,Deudas,Abono a TC,500.0,Sin recibo
2026-08-16,Gasto,Otros,Impuesto,13.8,Sin recibo
2026-08-16,Gasto,Deudas,Pago TC,2000.0,Sin recibo
2026-08-16,Gasto,Otros,Impuesto,4.0,Sin recibo
2026-08-16,Ingreso,Otros,Impuesto,50.88,Sin recibo
